id_transfermarkt,nombre_transfermarkt,posicion_transfermarkt,id_fbref,mejor_nombre_fbref,mejor_score
167042,cenk sahin,Delantero,96ddfa79,danel sinani,45
530298,christian conteh,Delantero,d571df78,johannes eggestein,47
110852,waldemar sobota,Delantero,94471fb7,andreas albers,41
379985,maximilian franzke,Delantero,96ddfa79,danel sinani,47
136641,dimitrios diamantakos,Delantero,d01f8942,scott banks,38
338879,kevin lankford,Delantero,78a2284f,elias saad,42
529103,serkan dursun,Delantero,35d23b15,lars ritzka,50
156676,ioannis gelios,Portero,1fb2d1b0,timon weiner,38
238722,dominik reimann,Portero,1fb2d1b0,timon weiner,44
265176,phil neumann,Defensa,651167c8,marvin schulz,48
175709,stefan thesker,Defensa,b020d807,finn porath,40
17443,dominik schmidt,Defensa,3a2cf67d,dominik javorcek,64
335101,tobias fleckstein,Defensa,543ddcaf,timo becker,50
314245,emmanuel iyoha,Defensa,02f7a79a,carl johansson,43
31218,johannes van den bergh,Defensa,02f7a79a,carl johansson,50
342141,young-jae seo,Defensa,1df23153,lasse rosenboom,50
211671,jannik dehm,Defensa,3a2cf67d,dominik javorcek,44
293231,darko todorovic,Defensa,e3f6253d,patrick erras,43
244940,salih ozcan,Medio,58391f96,andu kelati,45
107574,jonas meffert,Medio,625fd441,nicolai remberg,43
74295,aleksandar ignjovski,Medio,d0a0858e,armin gigovic,48
85298,alexander muhling,Medio,58391f96,andu kelati,43
388409,philipp sander,Medio,625fd441,nicolai remberg,41
147049,salim khelifi,Medio,58391f96,andu kelati,42
528619,jonas sterner,Medio,625fd441,nicolai remberg,43
195049,michael eberwein,Medio,651167c8,marvin schulz,48
336974,makana baku,Delantero,c21fb312,jann-fiete arp,32
254284,david atanga,Delantero,dea1d183,alexander bernhardsson,35
294534,janni serra,Delantero,c184c8c8,benedikt pichler,37
416809,daniel hanslik,Delantero,c21fb312,jann-fiete arp,43
307800,lion lauberbach,Delantero,dea1d183,alexander bernhardsson,43
804284,jesus dominguez,Portero,363ba1be,oscar jimenez,43
855194,bernardo aguilar,Portero,dce4c80e,alfonso blanco antunez,37
798508,diego luna,Defensa,c2a977d6,edgar guerra,45
798509,pedro hernandez,Defensa,1fd490ef,luis cervantes,41
784509,oscar villa,Defensa,1b2f1090,adonis frias,43
322174,david ramirez,Defensa,743d5a0e,jaine barreiro,44
395122,santiago colombatto,Medio,0e3ee284,sebastian santos,51
860804,luis guerrero,Medio,0e5a7d6a,luis valadez,50
856635,juan rangel,Medio,aa2e88c2,ivan moreno,45
804283,isaac muniz,Delantero,10c29b7b,alan medina,45
432217,ivan hernandez,Delantero,279cc0e8,diego hernandez,78
799706,jose salazar,Delantero,f2f8ca42,alfonso alvarado,50
415952,juan chavez,Portero,ce239870,carlos felipe rodriguez,29
801908,erick gonzalez,Portero,ce239870,carlos felipe rodriguez,32
859013,jose solis,Medio,1835f053,juan jose sanchez,57
920611,david ayala,Medio,dd6862d1,juan pablo vigon,44
859021,patrick ogama,Delantero,a35f5848,uriel antuna,40
485588,calvin raatsie,Portero,b90c4a43,diant ramaj,48
453807,vincent muller,Portero,c06b9ec2,tijn smolenaars,48
409490,maxime delanghe,Portero,8a2248b4,walter benitez,41
420196,justin de haas,Defensa,4c6e2ab5,emmanuel van de blaak,46
700680,luis felipe,Defensa,403f5d20,olivier boscagli,37
412937,shurandy sambo,Defensa,1787acb3,ryan flamingo,52
494282,mees kreekels,Defensa,c1e96bcc,michael bresser,43
486052,emmanuel matuta,Medio,3ec9f005,ismael saibari,48
379979,adrian fein,Medio,2ffa6348,armando obispo,48
147034,marco van ginkel,Medio,a29e5244,mauro junior,43
594273,jeremy antonisse,Delantero,6fe90922,ivan perisic,36
85093,eran zahavi,Delantero,8e034340,noa lang,42
515386,beau reus,Portero,9f82f7c2,hobie verhulst,52
71123,andre krul,Portero,9f82f7c2,hobie verhulst,42
231378,timo letschert,Defensa,17d0d996,maxim dekker,46
501640,maxim gullit,Defensa,17d0d996,maxim dekker,59
568377,tijs velthuis,Defensa,e38b5f28,lequincio zeefuik,33
349567,juan familia-castillo,Defensa,7ae36711,denso kasius,36
441216,thijs oosting,Medio,999f20b3,kristijan belic,36
276135,jeremy helmer,Medio,31c01b85,jordy clasie,48
450539,des kunst,Delantero,53888a90,kees smit,56
566271,yusuf barası,Delantero,9200d432,ibrahim sadiq,40
602598,job froeling,Portero,e1bf9037,tom bramel,45
353559,dominik oroz,Defensa,8d030ed8,loek postma,35
335516,idrissa toure,Medio,441f7f4c,enzo cornelisse,43
564448,daan huisman,Medio,1be9e9e5,adam tahaui,52
494283,enrico duenas,Medio,a50af160,simon van duivenbooden,46
503635,nouri el harmazi,Medio,5d093e71,irakli yegoian,40
564449,million manhoef,Delantero,32dd5ce9,miliano jonathans,50
557410,noah ohio,Delantero,32dd5ce9,miliano jonathans,46
514287,thijs jansen,Portero,2f18d0b8,timon wellenreuther,32
160222,uros spajic,Defensa,6d25f2fb,neraysho kasanwirjo,40
612824,sem valk,Defensa,0eb4a4f3,gijs smal,47
339339,jordy wehrmann,Medio,92fa5d28,hwang in-beom,44
132214,joao carlos teixeira,Medio,596cc50e,marcus pedersen,40
666977,aliou balde,Delantero,8f7e6783,calvin stengs,42
361126,keyennu lont,Delantero,0b24acbc,aymen sliti,52
387199,benaissa benamar,Defensa,cbca9383,matisse didden,47
578421,ruben kluivert,Defensa,25f50295,mike van der hoorn,38
216815,mimoun mahi,Delantero,f6f3699e,david min,60
27805,eljero elia,Delantero,d9a21f02,adrian blake,43
399997,daniel arzani,Delantero,d9a21f02,adrian blake,56
371980,mohamed mallahi,Delantero,47ad225e,noah ohio,42
400644,jeredy hilterman,Delantero,3e17193f,ole romeny,46
226410,per kristian bratveit,Portero,e1f45cf6,dirk baron,39
187594,nigel bertrams,Portero,5622d68b,etienne vaessen,34
594227,bjorn meijer,Defensa,d4164b83,marvin peersman,44
337670,alessio da cruz,Medio,fb812174,jorg schreuders,40
579289,paulos abraham,Delantero,8455a7fa,thom van bergen,41
601495,luciano valente,Delantero,8455a7fa,thom van bergen,40
4360,arjen robben,Delantero,e27159a1,alex mortensen,46
361108,jomar gomes,Portero,06b4ef33,youri schoonderwaldt,32
416393,lorenzo fonseca,Defensa,d6beca48,teo quintero,37
593193,augustin drakpe,Defensa,7c0ade01,mike eerdhuijzen,39
416390,bradley martis,Defensa,3a0fbf82,said bakari,48
621732,delano vianello,Medio,f7226e46,pelle clement,43
424330,jeremy van mullem,Medio,f7226e46,pelle clement,40
482826,reda kharchouch,Delantero,b75986f6,ayoub oufkir,37
186282,danzell gravenberch,Delantero,ad0d3536,camiel neghli,44
150080,daniel mesenholer,Portero,fdfc9ace,fabian de keijzer,41
557015,harm dieker,Portero,fdfc9ace,fabian de keijzer,36
406607,elias oubella,Defensa,d8b47705,kelvin leerdam,44
476755,mateo les,Defensa,67f5f4fb,lorenzo milani,43
591362,rohat agca,Medio,918969df,tiago codinha,43
391555,melih ibrahimoglu,Medio,1b6c663e,bryan limbombe,52
289507,ismail azzaoui,Medio,918969df,tiago codinha,37
345586,kasper lunding,Delantero,862a72ea,jizz hornkamp,37
134631,sinan bakıs,Delantero,06cc6ad5,antonio satriano,44
451576,nathan markelo,Defensa,30fb2f9c,bart van rooij,43
524033,thijs van leeuwen,Medio,689b9ef0,gijs besselink,45
292356,lazaros lamprou,Medio,4066ff66,mathias kjølø,38
205760,alexander jeremejeff,Delantero,c283ddef,sam lammers,39
30585,piet velthuizen,Portero,b74a2c78,mattijs branderhorst,29
333641,joshua wehking,Portero,71be74bb,luuk koopmans,30
842954,quint franssen,Portero,71be74bb,luuk koopmans,37
892047,ronan pluijmen,Defensa,19b28f22,loreintz rosier,41
201248,mickael tirpan,Defensa,be98fc34,shawn adewoye,37
540271,mike van beijnen,Defensa,341dc28c,syb van ottele,47
187809,mats seuntjens,Medio,ec30b9c8,samuel bastien,43
225431,lisandro semedo,Delantero,ec30b9c8,samuel bastien,41
468036,dimitris emmanouilidis,Delantero,beed8920,sjors hermsen,34
338673,thibaud verlinden,Delantero,e0b5ac38,ezequiel bullaude,47
49591,leroy george,Delantero,cddafc92,umaro embalo,42
561567,veron parkes,Delantero,d2b135e1,kristoffer peterson,45
548185,arian kastrati,Delantero,ec30b9c8,samuel bastien,43
578631,bas breukers,Delantero,ec30b9c8,samuel bastien,46
56631,erwin mulder,Portero,98eb5284,bernt klaverboer,50
600677,jaimy kroesen,Portero,2dc9d6fb,andries noppert,36
619872,marijn dijkstra,Portero,1184dd60,mickey van der hart,41
485586,syb van ottele,Defensa,16ca1157,sam kersten,40
274373,rami kaib,Defensa,16ca1157,sam kersten,40
562314,stefan westra,Defensa,16ca1157,sam kersten,58
371936,sieben dewaele,Medio,de716a60,melle witteveen,55
646670,timo zaal,Medio,f0f32aff,isaiah ahmed,38
486813,stanislav shopov,Medio,e4b23734,ties oostra,52
324957,tibor halilovic,Medio,66b52562,ilias sebaoui,43
593837,couhaib driouech,Delantero,bcd60cb7,jacob trenskow,40
469858,ulysses llanez,Delantero,1ea0b955,danilo al saed,43
475949,benjamin nygren,Delantero,bcd60cb7,jacob trenskow,41
611811,damian van drenth,Portero,22a94b80,kenneth vermeer,38
640556,rav van den berg,Defensa,fb0346ad,damian van der haar,51
611816,daijiro chirino,Defensa,d32ef527,eliano reijnders,45
591373,jan quispel,Medio,22a6a4d7,anouar el azzouzi,50
564620,samir lagsir,Medio,d384bddd,jamiro monteiro,52
214346,virgil misidjan,Delantero,80b81359,dylan vente,38
505652,slobodan tedic,Delantero,80b81359,dylan vente,48
497176,jop van der avert,Defensa,43156df9,mickael tirpan,45
391780,derrick kohn,Defensa,952d12cf,erik schouten,56
361083,ian smeulers,Defensa,c0baf2c0,valentino vermeulen,52
257988,leeroy owusu,Defensa,952d12cf,erik schouten,40
