club_code,club_name,season,division,league_position,puntos,partidos_jugados,goles_favor,goles_contra,valor_plantel,mean_plantel,nationality
4083,FC Crotone,2021,Segunda categoría,19.0,26.0,38.0,41.0,61.0,27180000.0,578000.0,Italia
410,Udinese,2022,Primera categoría,12.0,46.0,38.0,47.0,48.0,188860000.0,4970000.0,Italia
430,Fiorentina,2022,Primera categoría,8.0,56.0,38.0,53.0,43.0,258800000.0,6810000.0,Italia
430,Fiorentina,2023,Primera categoría,8.0,60.0,38.0,61.0,46.0,284100000.0,6930000.0,Italia
46,Inter de Milán,2022,Primera categoría,3.0,72.0,38.0,71.0,42.0,567550000.0,16219999.999999998,Italia
46,Inter de Milán,2023,Primera categoría,1.0,94.0,38.0,89.0,22.0,654850000.0,18710000.0,Italia
46865,Sancataldese Calcio,2020,,,,,,,,,Italia
5,AC Milan,2022,Primera categoría,4.0,70.0,38.0,64.0,43.0,545100000.0,15140000.0,Italia
607,Venezia FC,2021,Primera categoría,20.0,27.0,38.0,34.0,69.0,80980000.0,1590000.0,Italia
1022,Cerezo Osaka,2020,Primera categoría,4.0,60.0,34.0,46.0,37.0,17700000.0,443000.0,Japón
6395,Vegalta Sendai,2020,Primera categoría,17.0,28.0,34.0,36.0,61.0,12700000.0,343000.0,Japón
49149,FK Panevezys,2021,Primera categoría,4.0,60.0,36.0,55.0,40.0,2850000.0,86000.0,Lituania
11914,FC Differdange 03,2023,Primera categoría,1.0,66.0,30.0,70.0,23.0,3010000.0,81000.0,Luxemburgo
15817,Johor Darul Ta'zim,2022,Primera categoría,1.0,76.0,26.0,100.0,7.0,10850000.0,293000.0,Malasia
10605,Marsaxlokk FC,2021,,,,,,,630000.0,20000.0,Malta
10605,Marsaxlokk FC,2022,Primera categoría,11.0,25.0,26.0,28.0,38.0,3400000.0,106000.0,Malta
10091,Dorados de Sinaloa,2020,Segunda categoría,11.0,18.0,15.0,15.0,16.0,9830000.0,273000.0,México
110455,CD Cruz Azul U23,2022,,,,,,,,,México
1146,Club Necaxa,2022,Primera categoría,12.0,19.0,17.0,19.0,26.0,44580000.0,841000.0,México
1146,Club Necaxa,2023,Primera categoría,18.0,15.0,17.0,18.0,27.0,54200000.0,1130000.0,México
13353,Club Tijuana,2020,Primera categoría,14.0,20.0,17.0,19.0,21.0,54900000.0,1190000.0,México
13353,Club Tijuana,2021,Primera categoría,17.0,17.0,17.0,14.0,26.0,40300000.0,983000.0,México
13353,Club Tijuana,2022,Primera categoría,15.0,16.0,17.0,19.0,29.0,50850000.0,978000.0,México
1403,Santos Laguna,2022,Primera categoría,3.0,33.0,17.0,38.0,21.0,84600000.0,1920000.0,México
1403,Santos Laguna,2023,Primera categoría,9.0,23.0,17.0,31.0,34.0,72200000.0,1470000.0,México
1804,Deportivo Toluca FC,2020,Primera categoría,11.0,21.0,17.0,23.0,28.0,36100000.0,950000.0,México
1804,Deportivo Toluca FC,2022,Primera categoría,6.0,27.0,17.0,27.0,23.0,85800000.0,1870000.0,México
